State,County,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range
WA,Skamania,164,19,39,71.28658536585365,25.0
WA,Snohomish,17307,34,117,63.13225862367828,0.0
WA,Spokane,3690,31,102,63.923035230352305,21.0
WA,Stevens,193,22,42,65.97409326424871,25.0
WA,Thurston,5403,32,100,69.33703498056636,22.0
WA,Wahkiakum,49,13,23,71.91836734693878,25.0
WA,Walla Walla,360,24,56,68.92777777777778,25.0
WA,Whatcom,3668,34,103,71.40839694656489,26.5
WA,Whitman,262,23,49,59.20992366412214,21.0
WA,Yakima,835,29,77,66.67305389221556,22.0
WY,Laramie,1,1,1,322.0,322.0
WY,Sheridan,1,1,1,0.0,0.0
